Award ID,Agency,Office,Recipient,NAICS,Total Value,Start Date,Expiration
SPE2DX20D5045,Department of Defense,DLA TROOP SUPPORT,AMERISOURCEBERGEN DRUG CORP,424210 - DRUGS AND DRUGGISTS' SUNDRIES MERCHANT WHOLESALERS,"$4,999,999.00 ",4/3/2020,12/31/2025
SPE2DX17D9142,Department of Defense,DLA TROOP SUPPORT,DMS PHARMACEUTICAL GROUP INC,424210 - DRUGS AND DRUGGISTS' SUNDRIES MERCHANT WHOLESALERS,"$4,999,999.00 ",3/30/2017,12/24/2025
SPE2DX15D7600,Department of Defense,DLA TROOP SUPPORT,AMERISOURCEBERGEN DRUG CORP,325411 - MEDICINAL AND BOTANICAL MANUFACTURING,"$4,999,999.00 ",3/28/2018,12/31/2025
SPE2DX18D9539,Department of Defense,DLA TROOP SUPPORT,DMS PHARMACEUTICAL GROUP INC,424210 - DRUGS AND DRUGGISTS' SUNDRIES MERCHANT WHOLESALERS,"$4,999,999.00 ",8/27/2018,12/31/2025
SPE2DX18D3124,Department of Defense,DLA TROOP SUPPORT,AMERISOURCEBERGEN DRUG CORP,424210 - DRUGS AND DRUGGISTS' SUNDRIES MERCHANT WHOLESALERS,"$4,999,000.00 ",2/22/2018,12/24/2025
W912C320D0001,Department of Defense,W6QM MICC-FORT BUCHANAN (RC),ADVANTIX ENGINEERING CORP,238990 - ALL OTHER SPECIALTY TRADE CONTRACTORS,"$4,911,155.16 ",7/1/2020,12/31/2025
SPE30021DS367,Department of Defense,DLA TROOP SUPPORT,KIMBALL & THOMPSON PRODUCE COMPANY,311991 - PERISHABLE PREPARED FOOD MANUFACTURING,"$4,900,000.00 ",12/29/2020,12/28/2025
SPE30021DR367,Department of Defense,DLA TROOP SUPPORT,KIMBALL & THOMPSON PRODUCE COMPANY,311991 - PERISHABLE PREPARED FOOD MANUFACTURING,"$4,900,000.00 ",12/29/2020,12/28/2025
SPE2DB20D6037,Department of Defense,DLA TROOP SUPPORT,DMS PHARMACEUTICAL GROUP INC,424210 - DRUGS AND DRUGGISTS' SUNDRIES MERCHANT WHOLESALERS,"$4,900,000.00 ",7/27/2020,12/31/2025
SPE30020DA018,Department of Defense,DLA TROOP SUPPORT,THEODOR WILLE INTERTRADE GMBH,311812 - COMMERCIAL BAKERIES,"$4,900,000.00 ",1/1/2020,12/31/2025
SPE30021DR748,Department of Defense,DLA TROOP SUPPORT,"FRESHPACK PRODUCE, INC",311911 - ROASTED NUTS AND PEANUT BUTTER MANUFACTURING,"$4,900,000.00 ",12/18/2020,12/17/2025
SPE30020DSA88,Department of Defense,DLA TROOP SUPPORT,A. J. WHOLESALE PRODUCE INC.,311911 - ROASTED NUTS AND PEANUT BUTTER MANUFACTURING,"$4,900,000.00 ",1/1/2020,12/31/2025
SPE2DX16D1914,Department of Defense,DLA TROOP SUPPORT,AMERISOURCEBERGEN DRUG CORP,424210 - DRUGS AND DRUGGISTS' SUNDRIES MERCHANT WHOLESALERS,"$4,900,000.00 ",10/3/2016,12/31/2025
SPE30020DQ002,Department of Defense,DLA TROOP SUPPORT,EFS EBREX SARL,311812 - COMMERCIAL BAKERIES,"$4,900,000.00 ",1/1/2020,12/31/2025
SPE30020DVA04,Department of Defense,DLA TROOP SUPPORT,THE HARTFORD PROVISION COMPANY,311911 - ROASTED NUTS AND PEANUT BUTTER MANUFACTURING,"$4,900,000.00 ",1/1/2020,12/31/2025
SPE4AX21D0018,Department of Defense,DLA AVIATION,ENTERPRISE CABLING INC,334419 - OTHER ELECTRONIC COMPONENT MANUFACTURING,"$4,900,000.00 ",7/7/2021,12/17/2025
SPE30020DVA18,Department of Defense,DLA TROOP SUPPORT,THE HARTFORD PROVISION COMPANY,311911 - ROASTED NUTS AND PEANUT BUTTER MANUFACTURING,"$4,900,000.00 ",1/1/2020,12/31/2025
SPE30021DS357,Department of Defense,DLA TROOP SUPPORT,KIMBALL & THOMPSON PRODUCE COMPANY,311991 - PERISHABLE PREPARED FOOD MANUFACTURING,"$4,900,000.00 ",12/29/2020,12/28/2025
SPE2DX17D9155,Department of Defense,DLA TROOP SUPPORT,DMS PHARMACEUTICAL GROUP INC,424210 - DRUGS AND DRUGGISTS' SUNDRIES MERCHANT WHOLESALERS,"$4,900,000.00 ",3/16/2017,12/24/2025
SPE7L321D0006,Department of Defense,DLA LAND AND MARITIME,"HYDRAULICS INTERNATIONAL, INC.",333613 - MECHANICAL POWER TRANSMISSION EQUIPMENT MANUFACTURING,"$4,805,138.91 ",12/15/2020,12/14/2025
36C26124D0023,Department of Veterans Affairs,261-NETWORK CONTRACT OFFICE 21 (36C261),LIFEMOVES,624221 - TEMPORARY SHELTERS,"$4,800,000.00 ",1/1/2024,12/31/2025
36E79725D0002,Department of Veterans Affairs,NAC PHARMACEUTICALS (36E797),EXELAN PHARMACEUTICALS INC,325412 - PHARMACEUTICAL PREPARATION MANUFACTURING,"$4,792,297.44 ",12/20/2024,12/19/2025
36C24225D0048,Department of Veterans Affairs,242-NETWORK CONTRACT OFFICE 02 (36C242),"AMERICAN NATIONAL RED CROSS, THE",621991 - BLOOD AND ORGAN BANKS,"$4,700,913.55 ",3/1/2025,12/31/2025
75N98023D00003,Department of Health and Human Services,NATIONAL INSTITUTES OF HEALTH OLAO,PLEXUS SCIENTIFIC CORPORATION,541511 - CUSTOM COMPUTER PROGRAMMING SERVICES,"$4,671,513.04 ",1/1/2023,12/31/2025
SPE1C121D1430,Department of Defense,DLA TROOP SUPPORT,SAM BONK UNIFORM CIVILIAN CAP CO INC,315210 - CUT AND SEW APPAREL CONTRACTORS,"$4,600,000.00 ",12/15/2020,12/15/2025
36C25521D0014,Department of Veterans Affairs,255-NETWORK CONTRACT OFFICE 15 (36C255),CAHOKIA NURSING & REHABILITATION CENTER INC,623110 - NURSING CARE FACILITIES (SKILLED NURSING FACILITIES),"$4,563,972.79 ",1/1/2021,12/30/2025
N0018921DZ025,Department of Defense,NAVSUP FLT LOG CTR NORFOLK,PENINSULA MEDIATION CENTER INC,611430 - PROFESSIONAL AND MANAGEMENT DEVELOPMENT TRAINING,"$4,526,365.24 ",4/28/2021,12/14/2025
N4425521D5001,Department of Defense,NAVFAC NORTHWEST,"WHH NISQUALLY FEDERAL SERVICES, LLC",236220 - COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,"$4,500,000.00 ",12/29/2020,12/28/2025
36C26322D0101,Department of Veterans Affairs,NETWORK CONTRACT OFFICE 23 (36C263),ECUMEN,623110 - NURSING CARE FACILITIES (SKILLED NURSING FACILITIES),"$4,500,000.00 ",8/1/2022,12/31/2025
693JK425A500004,Department of Transportation,693JK4 OST,"FACILITY RX, LLC",484210 - USED HOUSEHOLD AND OFFICE GOODS MOVING,"$4,500,000.00 ",12/15/2024,12/14/2025
140A0123D0004,Department of the Interior,GREAT PLAINS REGION,C & C ENVIRONMENTAL INC,562211 - HAZARDOUS WASTE TREATMENT AND DISPOSAL,"$4,500,000.00 ",3/29/2023,12/31/2025
36C26322D0054,Department of Veterans Affairs,NETWORK CONTRACT OFFICE 23 (36C263),SISTERS OF MARY OF THE PRESENTATION LONG TERM CARE,623110 - NURSING CARE FACILITIES (SKILLED NURSING FACILITIES),"$4,500,000.00 ",4/1/2022,12/31/2025
36C26321D0077,Department of Veterans Affairs,NETWORK CONTRACT OFFICE 23 (36C263),THE EVANGELICAL LUTHERAN GOOD SAMARITAN SOCIETY,623110 - NURSING CARE FACILITIES (SKILLED NURSING FACILITIES),"$4,462,830.00 ",10/1/2021,12/31/2025
36C25220D0058,Department of Veterans Affairs,252-NETWORK CONTRACT OFFICE 12 (36C252),"ADVANCED IMAGING MANAGEMENT, LLC",621512 - DIAGNOSTIC IMAGING CENTERS,"$4,392,960.00 ",7/15/2020,12/31/2025
36C25225D0009,Department of Veterans Affairs,252-NETWORK CONTRACT OFFICE 12 (36C252),ROTECH HEALTHCARE INC.,621610 - HOME HEALTH CARE SERVICES,"$4,370,357.00 ",1/1/2025,12/31/2025
36C24822D0023,Department of Veterans Affairs,248-NETWORK CONTRACT OFFICE 8 (36C248),THE BRIDGES NURSING AND REHABILITATION LLC,623110 - NURSING CARE FACILITIES (SKILLED NURSING FACILITIES),"$4,300,000.00 ",1/1/2022,12/31/2025
36C24822D0033,Department of Veterans Affairs,248-NETWORK CONTRACT OFFICE 8 (36C248),LAKELAND INVESTORS LLC,623110 - NURSING CARE FACILITIES (SKILLED NURSING FACILITIES),"$4,300,000.00 ",1/1/2022,12/31/2025
N4008521D0026,Department of Defense,NAVFACSYSCOM MID-ATLANTIC,"MIRAMAR INTERNATIONAL GROUP, INC.",561210 - FACILITIES SUPPORT SERVICES,"$4,287,498.09 ",3/1/2021,12/31/2025
75H70621A00009,Department of Health and Human Services,GREAT PLAINS AREA INDIAN HEALTH SVC,"ORTHO-CLINICAL DIAGNOSTICS, INC",334516 - ANALYTICAL LABORATORY INSTRUMENT MANUFACTURING,"$4,281,000.00 ",7/30/2021,12/31/2025
SPE7LX21D0043,Department of Defense,DLA LAND AND MARITIME,"GENERAL DYNAMICS-OTS, INC.","332994 - SMALL ARMS, ORDNANCE, AND ORDNANCE ACCESSORIES MANUFACTURING","$4,232,852.10 ",12/23/2020,12/22/2025
N0018923DZ022,Department of Defense,NAVSUP FLT LOG CTR NORFOLK,"COMPUTATIONAL PHYSICS, INC.",541690 - OTHER SCIENTIFIC AND TECHNICAL CONSULTING SERVICES,"$4,226,908.00 ",6/15/2023,12/15/2025
FA811822D0003,Department of Defense,FA8118  AFSC PZABB,"TRIUMPH THERMAL SYSTEMS, LLC",336413 - OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,"$4,043,260.39 ",12/16/2021,12/16/2025
36C26324D0046,Department of Veterans Affairs,NETWORK CONTRACT OFFICE 23 (36C263),MAHNOMEN HEALTH CENTER,623110 - NURSING CARE FACILITIES (SKILLED NURSING FACILITIES),"$4,000,000.00 ",3/1/2024,12/31/2025
36C26323D0082,Department of Veterans Affairs,NETWORK CONTRACT OFFICE 23 (36C263),MARIAN MANOR COMMUNITY CORP,623110 - NURSING CARE FACILITIES (SKILLED NURSING FACILITIES),"$4,000,000.00 ",4/1/2023,12/31/2025
FA822821D0001,Department of Defense,FA8228  AFSC OL H PZIM,"MOORE GOOD IDEAS, INC",541511 - CUSTOM COMPUTER PROGRAMMING SERVICES,"$4,000,000.00 ",2/4/2021,12/31/2025
FA487721A0001,Department of Defense,FA4877  355 CONS PK,"BSE PERFORMANCE, LLC","321912 - CUT STOCK, RESAWING LUMBER, AND PLANING","$4,000,000.00 ",12/14/2020,12/13/2025
FA487721A0002,Department of Defense,FA4877  355 CONS PK,"HAROLDSON GROUP INTERNATIONAL, LLC","321912 - CUT STOCK, RESAWING LUMBER, AND PLANING","$4,000,000.00 ",12/15/2020,12/14/2025
693JK321A000005,Department of Transportation,693JK3 ACQUISITION SERVICES DIV.,APTIVE RESOURCES LLC,541613 - MARKETING CONSULTING SERVICES,"$4,000,000.00 ",12/14/2020,12/13/2025
FA865121D0044,Department of Defense,FA8651  AFRL RWK,"SEABROOK SOLUTIONS, LLC","541715 - RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)","$4,000,000.00 ",12/14/2020,12/13/2025
36C26322D0100,Department of Veterans Affairs,NETWORK CONTRACT OFFICE 23 (36C263),VILLA ST VINCENT INC,623110 - NURSING CARE FACILITIES (SKILLED NURSING FACILITIES),"$4,000,000.00 ",7/1/2022,12/31/2025
75H70621A00004,Department of Health and Human Services,GREAT PLAINS AREA INDIAN HEALTH SVC,SIEMENS HEALTHCARE DIAGNOSTICS INC.,334516 - ANALYTICAL LABORATORY INSTRUMENT MANUFACTURING,"$3,828,311.64 ",4/23/2021,12/31/2025
SPE4A621D5005,Department of Defense,DLA AVIATION,"L3HARRIS AVIATION PRODUCTS, INC","334511 - SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTURING","$3,817,809.00 ",12/14/2020,12/13/2025
W91CRB21D0011,Department of Defense,W6QK ACC-APG,CATERPILLAR INC,333618 - OTHER ENGINE EQUIPMENT MANUFACTURING,"$3,805,340.27 ",12/22/2020,12/21/2025
36C25225D0020,Department of Veterans Affairs,252-NETWORK CONTRACT OFFICE 12 (36C252),QUEST DIAGNOSTICS INCORPORATED,621511 - MEDICAL LABORATORIES,"$3,726,000.00 ",1/1/2025,12/31/2025
36C25821D0033,Department of Veterans Affairs,258-NETWORK CNTRCT OFF 22G (36C258),"FOOTHILL CARE CENTER, LLC",623110 - NURSING CARE FACILITIES (SKILLED NURSING FACILITIES),"$3,722,603.00 ",1/1/2021,12/31/2025
FA811721D0014,Department of Defense,FA8117  AFSC PZABA,HAMILTON SUNSTRAND AVIATION SERVICES INC,336413 - OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,"$3,654,271.00 ",12/17/2020,12/30/2025
692M1521D00002,Department of Transportation,"692M15 ACQUISITION & GRANTS, AAQ600",ART Z GRAPHICS INC,541430 - GRAPHIC DESIGN SERVICES,"$3,629,015.20 ",12/23/2020,12/31/2025
W911S221D6000,Department of Defense,W6QM MICC-FT DRUM,"A. & M. MOSCA, INC.",488991 - PACKING AND CRATING,"$3,608,450.00 ",1/1/2021,12/31/2025
36C26321D0021,Department of Veterans Affairs,NETWORK CONTRACT OFFICE 23 (36C263),"MAYO COLLABORATIVE SERVICES, INC.",621511 - MEDICAL LABORATORIES,"$3,499,000.00 ",1/1/2021,12/31/2025
SPE4A721D0071,Department of Defense,DLA AVIATION,PRECISION METAL PRODUCTS INC,"333612 - SPEED CHANGER, INDUSTRIAL HIGH-SPEED DRIVE, AND GEAR MANUFACTURING","$3,496,157.84 ",12/23/2020,12/21/2025
36C24221D0044,Department of Veterans Affairs,242-NETWORK CONTRACT OFFICE 02 (36C242),LIFE TECHNOLOGIES CORPORATION,325413 - IN-VITRO DIAGNOSTIC SUBSTANCE MANUFACTURING,"$3,494,462.30 ",12/14/2020,12/12/2025
36C24923A0030,Department of Veterans Affairs,249-NETWORK CONTRACT OFFICE 9 (36C249),"THERAKOS, INC.",325412 - PHARMACEUTICAL PREPARATION MANUFACTURING,"$3,492,089.33 ",9/15/2023,12/31/2025
W81XWH21D0004,Department of Defense,W4PZ USA MED RSCH ACQUIS ACT,"BIOIVT, LLC",325414 - BIOLOGICAL PRODUCT (EXCEPT DIAGNOSTIC) MANUFACTURING,"$3,482,500.00 ",12/18/2020,12/17/2025
191S7024D0004,Department of State,AMERICAN EMBASSY TEL AVIV,"ESCIENCE & TECHNOLOGY SOLUTIONS, INC.",541214 - PAYROLL SERVICES,"$3,459,872.00 ",4/1/2024,12/31/2025
W9124921D0001,Department of Defense,W6QM MICC-FT EISENHOWER,MACON TRADING POST INC,484210 - USED HOUSEHOLD AND OFFICE GOODS MOVING,"$3,402,345.00 ",1/1/2021,12/31/2025
N4008521D0015,Department of Defense,NAVFACSYSCOM MID-ATLANTIC,MASS TANK INSPECTION SERVICES LLC,562998 - ALL OTHER MISCELLANEOUS WASTE MANAGEMENT SERVICES,"$3,394,485.40 ",12/30/2020,12/29/2025
19ZA6022D0001,Department of State,U.S. EMBASSY LUSAKA,MISCELLANEOUS FOREIGN AWARDEES,561421 - TELEPHONE ANSWERING SERVICES,"$3,347,534.09 ",1/1/2022,12/31/2025
19AM1025D0001,Department of State,U.S. EMBASSY YEREVAN,"""LIGA INSURANCE"" INSURANCE CLOSE JOINT-STOCK COMPANY",524114 - DIRECT HEALTH AND MEDICAL INSURANCE CARRIERS,"$3,313,188.27 ",12/22/2024,12/21/2025
36C26322D0053,Department of Veterans Affairs,NETWORK CONTRACT OFFICE 23 (36C263),SISTERS OF MARY OF THE PRESENTATION LONG TERM CARE,623110 - NURSING CARE FACILITIES (SKILLED NURSING FACILITIES),"$3,300,000.00 ",4/1/2022,12/31/2025
36C24823D0048,Department of Veterans Affairs,248-NETWORK CONTRACT OFFICE 8 (36C248),"FAITH-HOPE-LOVE-CHARITY, INC.",624221 - TEMPORARY SHELTERS,"$3,240,710.90 ",1/1/2023,12/31/2025
36C78624D50336,Department of Veterans Affairs,NATIONAL CEMETERY ADMIN (36C786),MODERNO INC,561730 - LANDSCAPING SERVICES,"$3,232,778.08 ",7/1/2024,12/31/2025
89503325DWA000002,Department of Energy,WESTERN-SIERRA NEVADA REGION,PACIFIC UTILITIES SUPPLY COMPANY INC,"423610 - ELECTRICAL APPARATUS AND EQUIPMENT, WIRING SUPPLIES, AND RELATED EQUIPMENT MERCHANT  WHOLESALERS","$3,020,000.00 ",12/12/2024,12/15/2025
SPE1C121D1431,Department of Defense,DLA TROOP SUPPORT,CROWN CLOTHING CO,"315240 - WOMEN'S, GIRLS', AND INFANTS' CUT AND SEW APPAREL MANUFACTURING","$3,015,855.00 ",12/18/2020,12/17/2025
36E79724D0001,Department of Veterans Affairs,NAC PHARMACEUTICALS (36E797),"GENENTECH USA, INC",325412 - PHARMACEUTICAL PREPARATION MANUFACTURING,"$3,011,580.00 ",12/23/2023,12/22/2025
36C26322D0057,Department of Veterans Affairs,NETWORK CONTRACT OFFICE 23 (36C263),THE EVANGELICAL LUTHERAN GOOD SAMARITAN SOCIETY,623110 - NURSING CARE FACILITIES (SKILLED NURSING FACILITIES),"$3,000,000.00 ",3/1/2022,12/31/2025
W56HZV23AJ012,Department of Defense,W4GG HQ US ARMY TACOM,LONESTAR DEFENSE AND LOGISTICS LLC,"336992 - MILITARY ARMORED VEHICLE, TANK, AND TANK COMPONENT MANUFACTURING","$3,000,000.00 ",1/11/2023,12/29/2025
W90VN922A0006,Department of Defense,0906 AQ CO     DET A CONTRACTI,"NAMBU SERVICE CO., LTD.",562219 - OTHER NONHAZARDOUS WASTE TREATMENT AND DISPOSAL,"$3,000,000.00 ",12/1/2021,12/31/2025
19CE2023D0002,Department of State,U.S. EMBASSY COLOMBO,CONTINENTAL INSURANCE LANKA LIMITED,524114 - DIRECT HEALTH AND MEDICAL INSURANCE CARRIERS,"$3,000,000.00 ",1/1/2023,12/31/2025
W56HZV23AJ006,Department of Defense,W4GG HQ US ARMY TACOM,VIKING INCORPORATED,313210 - BROADWOVEN FABRIC MILLS,"$3,000,000.00 ",11/16/2022,12/16/2025
N4008520D0010,Department of Defense,NAVFACSYSCOM MID-ATLANTIC,"HERITAGE GLOBAL SOLUTIONS, INC.","532412 - CONSTRUCTION, MINING, AND FORESTRY MACHINERY AND EQUIPMENT RENTAL AND LEASING","$3,000,000.00 ",1/7/2020,12/31/2025
FA481421D0003,Department of Defense,FA4814 6 CONS PK,"OCEAN FLOORING, INC.",238330 - FLOORING CONTRACTORS,"$3,000,000.00 ",2/19/2021,12/31/2025
36C25721A0011,Department of Veterans Affairs,257-NETWORK CONTRACT OFFICE 17 (36C257),QUEST DIAGNOSTICS INCORPORATED,621511 - MEDICAL LABORATORIES,"$3,000,000.00 ",1/1/2021,12/31/2025
36C26321D0014,Department of Veterans Affairs,NETWORK CONTRACT OFFICE 23 (36C263),RAS ENTERPRISES LLC,325120 - INDUSTRIAL GAS MANUFACTURING,"$3,000,000.00 ",1/1/2021,12/31/2025
FA524023D0013,Department of Defense,FA5240  36 CONS LGC,ANTONIO C. MENDOZA III,561790 - OTHER SERVICES TO BUILDINGS AND DWELLINGS,"$3,000,000.00 ",5/1/2023,12/31/2025
M0026421D0001,Department of Defense,COMMANDER,"LOUISE W. EGGLESTON CENTER, INC.",812320 - DRYCLEANING AND LAUNDRY SERVICES (EXCEPT COIN-OPERATED),"$3,000,000.00 ",12/18/2020,12/31/2025
36C26323D0005,Department of Veterans Affairs,NETWORK CONTRACT OFFICE 23 (36C263),EVENTIDE JAMESTOWN LLC,623110 - NURSING CARE FACILITIES (SKILLED NURSING FACILITIES),"$3,000,000.00 ",10/1/2022,12/31/2025
W81XWH21A0002,Department of Defense,ARMY MED RES ACQ ACTIVITY,"AIRGAS USA, LLC",325120 - INDUSTRIAL GAS MANUFACTURING,"$3,000,000.00 ",12/11/2020,12/17/2025
FA524023D0011,Department of Defense,FA5240  36 CONS LGC,"JWS REFRIGERATION & AIR CONDITIONING, LTD.","238220 - PLUMBING, HEATING, AND AIR-CONDITIONING CONTRACTORS","$3,000,000.00 ",4/14/2023,12/31/2025
36C26322D0026,Department of Veterans Affairs,NETWORK CONTRACT OFFICE 23 (36C263),PERHAM HOSPITAL DISTRICT,623110 - NURSING CARE FACILITIES (SKILLED NURSING FACILITIES),"$3,000,000.00 ",1/1/2022,12/31/2025
W81XWH21A0003,Department of Defense,W4PZ USA MED RSCH ACQUIS ACT,"CONTIEM, INC.",541519 - OTHER COMPUTER RELATED SERVICES,"$2,999,999.00 ",12/5/2020,12/16/2025
89243523DCR000001,Department of Energy,STRATEGIC PETROLEUM RESERVE,SAYBOLT LP,541380 - TESTING LABORATORIES AND SERVICES,"$2,948,600.00 ",1/1/2023,12/31/2025
36C25025D0019,Department of Veterans Affairs,250-NETWORK CONTRACT OFFICE 10 (36C250),"GOVTRANZ, LLC",485991 - SPECIAL NEEDS TRANSPORTATION,"$2,930,525.00 ",1/1/2025,12/31/2025
75H71021D00002,Department of Health and Human Services,NAVAJO AREA INDIAN HEALTH SVC,LABORATORY CORPORATION OF AMERICA,621511 - MEDICAL LABORATORIES,"$2,919,255.00 ",3/24/2021,12/31/2025
6973GH24D00001,Department of Transportation,6973GH FRANCHISE ACQUISITION SVCS,"JOINT LOGISTICS MANAGERS, INC.",493110 - GENERAL WAREHOUSING AND STORAGE,"$2,911,409.40 ",10/17/2023,12/29/2025
FA485523D0001,Department of Defense,FA4855  27 SOCONS LGC,"MAINSTREAM IP SOLUTIONS, INC.",517111 - WIRED TELECOMMUNICATIONS CARRIERS,"$2,900,000.00 ",4/1/2023,12/31/2025
W91QVN21D0037,Department of Defense,0411 AQ HQ     CONTRACT AUG,"KUMKANG EXPRESS TOUR CO.,LTD",485119 - OTHER URBAN TRANSIT SYSTEMS,"$2,892,052.59 ",10/1/2021,12/31/2025
36C24924D0023,Department of Veterans Affairs,249-NETWORK CONTRACT OFFICE 9 (36C249),"GASTROINTESTINAL ASSOCIATES OF NORTHEAST TENNESSEE, P.C.","611310 - COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS","$2,877,046.31 ",1/1/2024,12/31/2025
FA811721D0005,Department of Defense,FA8117  AFSC PZABA,THE BOEING COMPANY,336413 - OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,"$2,819,619.00 ",12/31/2020,12/31/2025
N0038321DYB01,Department of Defense,NAVSUP WEAPON SYSTEMS SUPPORT,ROSEMOUNT AEROSPACE INC,336413 - OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,"$2,795,324.91 ",12/28/2020,12/28/2025
W91QVN22D0005,Department of Defense,0411 AQ HQ     CONTRACT AUG,"KOREAN AIR LINES CO.,LTD.",336411 - AIRCRAFT MANUFACTURING,"$2,753,209.85 ",10/13/2021,12/31/2025
36C24525D0025,Department of Veterans Affairs,245-NETWORK CONTRACT OFFICE 5 (36C245),COMMUNITY PASTOR CARE LLC,485991 - SPECIAL NEEDS TRANSPORTATION,"$2,751,175.00 ",1/1/2025,12/31/2025
W91QVN22D0002,Department of Defense,0411 AQ HQ     CONTRACT AUG,"GAWHA DEVELOPMENT CO., LTD",561210 - FACILITIES SUPPORT SERVICES,"$2,729,815.95 ",10/5/2020,12/31/2025
SPE8E921D0002,Department of Defense,DLA TROOP SUPPORT,"L.C.DOANE COMPANY,THE",333414 - HEATING EQUIPMENT (EXCEPT WARM AIR FURNACES) MANUFACTURING,"$2,632,388.14 ",12/23/2020,12/22/2025
M6700121D0002,Department of Defense,COMMANDING GENERAL,SEMPER-FI VEHICLE & SELF STORAGE INC,493190 - OTHER WAREHOUSING AND STORAGE,"$2,631,000.00 ",1/1/2021,12/31/2025
SPE1C120D1229,Department of Defense,DLA TROOP SUPPORT,CREIGHTON AB INC,315220 - MEN'S AND BOYS' CUT AND SEW APPAREL MANUFACTURING,"$2,613,087.82 ",12/19/2019,12/19/2025
70FBR624A00000006,Department of Homeland Security,REGION 6 : EMERGENCY PREPAREDNESS A,PARLIAMENT LLC,531110 - LESSORS OF RESIDENTIAL BUILDINGS AND DWELLINGS,"$2,600,000.00 ",9/25/2024,12/24/2025
N0003921D6000,Department of Defense,FA8807 MIL COMM AND PNT SSC/CGK,THE BOEING COMPANY,541330 - ENGINEERING SERVICES,"$2,544,547.00 ",12/23/2020,12/31/2025
6973GH22D00093,Department of Transportation,6973GH FRANCHISE ACQUISITION SVCS,AHTNA GLOBAL LLC,236220 - COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,"$2,541,100.92 ",9/8/2022,12/31/2025
M6700124D0003,Department of Defense,COMMANDING GENERAL,"AMERIGAS PROPANE, L.P.",221210 - NATURAL GAS DISTRIBUTION,"$2,538,000.00 ",1/1/2024,12/31/2025
W911SA23D2000,Department of Defense,W6QM MICC FT MCCOY (RC),"ALLIANCE STEEL CONSTRUCTION, INC.",238330 - FLOORING CONTRACTORS,"$2,535,083.75 ",12/15/2022,12/15/2025
6913G622D300015,Department of Transportation,6913G6 VOLPE NATL. TRANS. SYS CNTR,ENSCO INC,"541715 - RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)","$2,500,000.00 ",12/17/2021,12/16/2025
6913G622D300014,Department of Transportation,6913G6 VOLPE NATL. TRANS. SYS CNTR,"CHARLES RIVER ANALYTICS, INC.","541715 - RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)","$2,500,000.00 ",12/17/2021,12/16/2025
6913G622D300019,Department of Transportation,6913G6 VOLPE NATL. TRANS. SYS CNTR,"WESTAT, INC.","541715 - RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)","$2,500,000.00 ",12/17/2021,12/16/2025
6913G622D300018,Department of Transportation,6913G6 VOLPE NATL. TRANS. SYS CNTR,VIRGINIA POLYTECHNIC INSTITUTE & STATE UNIVERSITY,"541715 - RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)","$2,500,000.00 ",12/17/2021,12/16/2025
6913G622D300016,Department of Transportation,6913G6 VOLPE NATL. TRANS. SYS CNTR,"MOSAIC ATM, INC.","541715 - RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)","$2,500,000.00 ",12/17/2021,12/16/2025
36C26322D0143,Department of Veterans Affairs,NETWORK CONTRACT OFFICE 23 (36C263),CITY OF ULEN MUNICIPAL LIQUOR STORE AND VIKING MANOR,623110 - NURSING CARE FACILITIES (SKILLED NURSING FACILITIES),"$2,500,000.00 ",9/1/2022,12/31/2025
36C24223D0014,Department of Veterans Affairs,242-NETWORK CONTRACT OFFICE 02 (36C242),CARING FOR THE HOMELESS OF PEEKSKILL INC,624221 - TEMPORARY SHELTERS,"$2,469,334.50 ",1/1/2023,12/31/2025
W9123721D0004,Department of Defense,W072 ENDIST HUNTINGTON,"BRANNON CONTRACTING & MAINTENANCE SERVICES, LLC",561730 - LANDSCAPING SERVICES,"$2,400,000.00 ",3/4/2021,12/31/2025
