Business name,Capabilities narrative,Capabilities statement link,Active SBA certifications,Contact person's name,Contact person's email,Address line 1,Address line 2,City,State,Zipcode,Primary NAICS code,All NAICS codes,“Small” NAICS codes
"=HYPERLINK( ""https://search.certifications.sba.gov/profile/KMY1R2PWDAR7/9H4C3"", ""TSS-JCC LLC"" )",,,8(a) JV,RON PERRY,ron.perry@teyacompany.com,307 OLD FARM LN S STE 701,,PRATTVILLE,Alabama,36066,236220,"236210, 236220","236210, 236220"
"=HYPERLINK( ""https://search.certifications.sba.gov/profile/YR27UWXUUDA5/8FG54"", ""TORRENCE & COMPANY, LLC"" )",,,8(a),"ERIC ""RICKY"" TORRENCE",rtorrence@torrenceandco.com,5752 NC HIGHWAY 41 W,,TRENTON,North Carolina,28585,561210,"115310, 236118, 237990, 238220, 238290, 238330, 326191, 333413, 423390, 484110, 484210, 531311, 531312, 532210, 532310, 541350, 541380, 541513, 561210, 561612, 561621, 561720, 561730, 561790, 562111, 562112, 562119, 562211, 562219, 562910, 562920, 562991, 722310, 811310","115310, 236118, 237990, 238220, 238290, 238330, 326191, 333413, 423390, 484110, 484210, 531311, 531312, 532210, 532310, 541350, 541380, 541513, 561210, 561612, 561621, 561720, 561730, 561790, 562111, 562112, 562119, 562211, 562219, 562910, 562920, 562991, 722310, 811310"
"=HYPERLINK( ""https://search.certifications.sba.gov/profile/DGCQQJQCN4X8/8EUM5"", ""PUYENPA CONSTRUCTION, LLC"" )",,,"8(a), HUBZone",EMILY STOUT,emilystout@puyenpa.com,511 DUCKWATER FALLS RD,,DUCKWATER,Nevada,89314,236220,"236210, 236220, 237110, 237120, 237130, 237210, 237310, 237990, 238110, 238120, 238130, 238140, 238160, 238170, 238190, 238210, 238220, 238290, 238320, 238330, 238390, 238910, 238990, 327320, 331210, 332311, 332313, 332322, 332323, 423690, 541310, 541330, 541350, 541370, 541620, 541990, 561210, 561730, 562910","236210, 236220, 237110, 237120, 237130, 237210, 237310, 237990, 238110, 238120, 238130, 238140, 238160, 238170, 238190, 238210, 238220, 238290, 238320, 238330, 238390, 238910, 238990, 327320, 331210, 332311, 332313, 332322, 332323, 423690, 541310, 541330, 541370, 541620, 541990, 561210, 562910"
"=HYPERLINK( ""https://search.certifications.sba.gov/profile/W8E9FTH8F365/93QB8"", ""ALEUT MANAGEMENT SERVICES, LLC"" )",,,8(a),JASON WALDMAN,jason.waldman@aleutfederal.com,12355 SUNRISE VALLEY DR STE 300F,,RESTON,Virginia,20191,541519,"238220, 334290, 518210, 541330, 541511, 541512, 541513, 541519, 541611, 561210, 611420, 611430","238220, 334290, 518210, 541330, 541511, 541512, 541513, 541519, 541611, 561210, 611420, 611430"
"=HYPERLINK( ""https://search.certifications.sba.gov/profile/CMF6MLB57BL4/9BET0"", ""SENECA FEDERAL SOLUTIONS, LLC"" )","Seneca Federal Solutions, LLC (SFS) offers expertise and outstanding results in support of Federal Government operational infrastructure to include telecommunications, secure Facilities, IDS/ACS, AV/VTC and controls, HVAC and power systems, furnishings, fixtures, equipment, decommissioning, design, project management, asset recycling, and more.  We support your mission in providing products and services that keep your facilities running smoothly.",,8(a),WARREN KMETZ,wkmetz@senecafederalsolutions.com,14200 PARK MEADOW DR STE 125,,CHANTILLY,Virginia,20151,561210,"236210, 236220, 237130, 237990, 238210, 238220, 238390, 332311, 333310, 333924, 334111, 334112, 334118, 334210, 334220, 334290, 334310, 334416, 334512, 335999, 337121, 337122, 337126, 337127, 337211, 337212, 337214, 337215, 337910, 337920, 339940, 423210, 423220, 423420, 424120, 424130, 484210, 517810, 518210, 531130, 532289, 532420, 532490, 541330, 541512, 541519, 541611, 541614, 541620, 541990, 561210, 561621, 562111, 562910, 722330, 811310","236210, 236220, 237130, 237990, 238210, 238220, 238390, 332311, 333310, 333924, 334111, 334112, 334118, 334210, 334220, 334290, 334310, 334416, 334512, 335999, 337121, 337122, 337126, 337127, 337211, 337212, 337214, 337215, 337910, 337920, 339940, 423210, 423220, 423420, 424120, 424130, 484210, 517810, 518210, 531130, 532289, 532420, 532490, 541330, 541512, 541519, 541611, 541614, 541620, 541990, 561210, 561621, 562111, 562910, 722330, 811310"
"=HYPERLINK( ""https://search.certifications.sba.gov/profile/WG8JEEHC6M45/605H6"", ""CHEYANNE, INC."" )",,https://certifications.sba.gov/capabilities/WG8JEEHC6M45,8(a),HOLLIE TOWE,hollietowe@gmail.com,5713 12TH AVE E,UNIT 1,TUSCALOOSA,Alabama,35405,236220,"236210, 236220, 237990, 238110, 238120, 238130, 238140, 238160, 238170, 238190, 238210, 238220, 238290, 238310, 238320, 238330, 238340, 238350, 238390, 238910, 238990, 334510, 337214, 423220, 423910, 423990, 484210, 541330, 541350, 541512, 541513, 541611, 541614, 541618, 541620, 541690","236210, 236220, 237990, 238110, 238120, 238130, 238140, 238160, 238170, 238190, 238210, 238220, 238290, 238310, 238320, 238330, 238340, 238350, 238390, 238910, 238990, 334510, 337214, 423220, 423910, 423990, 484210, 541330, 541350, 541512, 541513, 541611, 541614, 541618, 541620, 541690"
"=HYPERLINK( ""https://search.certifications.sba.gov/profile/GTS9NLFKGEG8/69V24"", ""CHEROKEE NATION GOVERNMENT SOLUTIONS LLC"" )","CNGS is a full service consulting and services support firm providing mission critical solutions to the Gvt which includes Science, Engineering, Construction, IT, R&D, Facilities Mgt, Program Mgt, and Mission Support",,"8(a), HUBZone",JENNYLYNN GATES,jennylynn.gates@cherokee-federal.com,2 W 2ND ST STE 1500-16,,TULSA,Oklahoma,74103,541614,"236220, 238990, 325910, 325992, 334111, 334112, 334118, 334210, 334220, 334290, 334310, 334419, 334510, 334511, 334515, 334610, 335139, 335311, 335313, 335921, 335929, 335931, 335932, 335999, 337214, 339112, 423430, 493110, 493120, 493190, 512191, 512290, 513210, 516210, 517111, 517112, 517121, 517410, 518210, 519290, 541199, 541330, 541511, 541512, 541513, 541519, 541611, 541614, 541618, 541620, 541690, 541713, 541714, 541715, 541720, 541990, 561110, 561210, 561320, 561330, 561422, 561499, 562910, 611420, 624221, 624229, 624230, 811210","236220, 238990, 325910, 325992, 334111, 334112, 334118, 334210, 334220, 334290, 334310, 334419, 334510, 334511, 334515, 334610, 335139, 335311, 335313, 335921, 335929, 335931, 335932, 335999, 337214, 339112, 423430, 493110, 493120, 493190, 512191, 512290, 513210, 516210, 517111, 517112, 517121, 517410, 518210, 519290, 541199, 541330, 541511, 541512, 541513, 541519, 541611, 541614, 541618, 541620, 541690, 541713, 541714, 541715, 541720, 541990, 561110, 561210, 561320, 561330, 561422, 561499, 562910, 611420, 624221, 624229, 624230, 811210"
"=HYPERLINK( ""https://search.certifications.sba.gov/profile/V98PJ2BT1CS4/6FPL7"", ""TIGUA TECHNOLOGY SERVICES, INC."" )","Business Analysis & Continuity, Program & Project Mgt, Web Services, Data Security, PC Support, Network/Server Mgt & Admin, System & Application Mgt, Tech Writing, Requirements Analysis, Integration, Help Desk, Database Mgt, Service Mgt, Training",,8(a),KRIS WEIMERSKIRCH,kris.weimerskirch@tiguainc.org,12 LEIGH FISHER BLVD STE 208,,EL PASO,Texas,79906,541513,"238210, 334111, 336320, 423430, 484210, 522390, 541330, 541430, 541511, 541512, 541513, 541519, 541612, 541614, 541690, 541990, 561110, 561210, 561311, 561312, 561621","238210, 334111, 336320, 423430, 484210, 522390, 541330, 541430, 541511, 541512, 541513, 541519, 541612, 541614, 541690, 541990, 561110, 561210, 561311, 561312, 561621"
"=HYPERLINK( ""https://search.certifications.sba.gov/profile/HVYFLHD3P5B9/9KJS5"", ""SHARK POINT SOLUTIONS, LLC"" )",,,8(a),JENNIFER BROUGHAM,tsbcontracts@threesaintsbay.com,126 E BURKE ST OFC 16,,MARTINSBURG,West Virginia,25401,541612,"221310, 488190, 493110, 518210, 541199, 541330, 541360, 541370, 541380, 541511, 541512, 541513, 541519, 541611, 541612, 541613, 541614, 541618, 541620, 541690, 541810, 541820, 541830, 541840, 541850, 541860, 541870, 541890, 541910, 541990, 561110, 561210, 561320, 561439, 561611, 811490","221310, 488190, 493110, 518210, 541199, 541330, 541360, 541370, 541380, 541511, 541512, 541513, 541519, 541611, 541612, 541613, 541614, 541618, 541620, 541690, 541810, 541820, 541830, 541840, 541850, 541860, 541870, 541890, 541910, 541990, 561110, 561210, 561320, 561439, 561611, 811490"
"=HYPERLINK( ""https://search.certifications.sba.gov/profile/UJYDULS64LJ1/9KDX2"", ""GREENLIGHT CONSULTING SERVICES, LLC"" )","Greenlight Consulting Services, LLC (GCS) offers a variety of temporary help services including professional services, administrative services, and facilities and logistics-related support services to our clients—providing practical, comprehensive solutions. We adapt emerging technologies, best practices and proven approaches into a package focused on the customer’s mission. GCS is well-positioned to support temporary help operations for defense agencies, as its leadership has considerable experience and significant depth of knowledge and understanding of the numerous requirements associated with safe, efficient, and environmentally compliant operations.",https://katmaicorp.box.com/v/GCS-MTG-CAP-STMNT,8(a),TERESA DERRICKSON,The business owner has hidden this information from public searches,11001 OMALLEY CENTRE DR STE 204,,ANCHORAGE,Alaska,99515,561320,"541219, 541330, 541511, 541519, 541611, 561110, 561210, 561320","541219, 541330, 541511, 541519, 541611, 561110, 561210, 561320"
"=HYPERLINK( ""https://search.certifications.sba.gov/profile/C157ALV4VAK9/8C2X1"", ""MIDNIGHT SUN AUS, LLC"" )",,,8(a),JENNIFER HEISEY,jheisey@midnightsun.com,3201 C ST STE 801,,ANCHORAGE,Alaska,99503,541614,"221310, 236220, 238160, 238190, 238210, 238220, 238290, 238320, 238330, 238350, 334413, 335132, 335139, 336320, 541310, 541330, 541614, 541690, 561210, 561720, 561730, 561790, 561990, 562910","221310, 236220, 238160, 238190, 238210, 238220, 238290, 238320, 238330, 238350, 334413, 335132, 335139, 336320, 541310, 541330, 541614, 541690, 561210, 561720, 561730, 561790, 561990, 562910"
"=HYPERLINK( ""https://search.certifications.sba.gov/profile/UPLRD8G3MMJ5/4F6N7"", ""UIC BOWHEAD TRANSPORT, LLC"" )","Bowhead Transport is a marine-based services company specializing in marine shipping, logistics and project-based support in remote locations. It operates several push-boats, river and inland coastal water barges and ocean-going line-haul barge sailings. Its territory ranges from Seattle to the far Aleutians, upriver in western Alaska and Bristol Bay, and all along the Alaska coast up to Kaktovik in the Arctic. ",https://uicalaska.com/our-companies/uic-bowhead-transport-llc/,8(a),LORI SCHENDEL,lori.schendel@bowheadsupport.com,6700 ARCTIC SPUR RD,,ANCHORAGE,Alaska,99518,488320,"213112, 237990, 483111, 483113, 483211, 483212, 488320, 488330, 488390, 488510, 488999, 561990, 713930","213112, 237990, 483111, 483113, 483211, 483212, 488320, 488330, 488390, 488510, 488999, 561990"
"=HYPERLINK( ""https://search.certifications.sba.gov/profile/NH7ZFAMCUGX4/8A9K2"", ""BOWHEAD MARINE SUPPORT SERVICES LLC"" )",,,8(a),LORI SCHENDEL,lori.schendel@bowheadsupport.com,1000 SHILOH RD,STE 500,PLANO,Texas,75074,488310,"332999, 334519, 335999, 336110, 336390, 336411, 336611, 483111, 483112, 483114, 488310, 488330, 488390, 517810, 541330, 541512, 541611, 561110, 561210, 561910, 611519, 811111, 811310, 811490","332999, 334519, 335999, 336110, 336390, 336411, 336611, 483111, 483112, 483114, 488310, 488330, 488390, 517810, 541330, 541512, 541611, 561110, 561210, 561910, 611519, 811111, 811310, 811490"
"=HYPERLINK( ""https://search.certifications.sba.gov/profile/CJ63FCLMUUQ7/9UZ09"", ""SPAARK 2.0 LLC"" )",,,8(a),STACEY MYERS,stacey.myers@spaark2.com,5000 LETTERKENNY RD STE 280,,CHAMBERSBURG,Pennsylvania,17201,541611,"238390, 332722, 541330, 541360, 541370, 541511, 541512, 541513, 541519, 541611, 541612, 541614, 541618, 541690, 541715, 541990, 561110, 561210, 561320, 561499, 561611, 561990, 611430, 611699, 611710, 621399, 621498, 621999, 624190","238390, 332722, 541330, 541360, 541370, 541511, 541512, 541513, 541519, 541611, 541612, 541614, 541618, 541690, 541715, 541990, 561110, 561210, 561320, 561499, 561611, 561990, 611430, 611699, 611710, 621399, 621498, 621999, 624190"
"=HYPERLINK( ""https://search.certifications.sba.gov/profile/S5DHY3K1W9M5/859J7"", ""CHAMPION COMMERCIAL FENCE BUILDERS, LLC"" )",,,8(a),MIKE RATHE,mrathe@mn-e.com,4106 KINGS MOUNTAIN HWY,,BESSEMER CITY,North Carolina,28016,238990,"212311, 212312, 212321, 236210, 236220, 237110, 237130, 237210, 237310, 238160, 238170, 238190, 238210, 238220, 238290, 238320, 238910, 238990, 314110, 332321, 332420, 423320","212311, 212312, 212321, 236210, 236220, 237110, 237130, 237210, 237310, 238160, 238170, 238190, 238210, 238220, 238290, 238320, 238910, 238990, 314110, 332321, 332420, 423320"
"=HYPERLINK( ""https://search.certifications.sba.gov/profile/VCUXVXUKDR27/9FCX1"", ""OPTA GOVERNMENT SOLUTIONS LLC"" )",,,8(a),VICTOR CENNAME,v.cenname@optagov.com,44160 SCHOLAR PLZ STE 364,,LEESBURG,Virginia,20176,541519,"541519, 541611, 541990","541519, 541611, 541990"
"=HYPERLINK( ""https://search.certifications.sba.gov/profile/XWCFLECJH9L8/10M37"", ""YULISTA CONTRACT SERVICES, LLC"" )",,,8(a),MISTY MCGUIRE,misty.mcguire@yulista.com,1943 50TH ST N,,BIRMINGHAM,Alabama,35212,488190,"336411, 488190","336411, 488190"
"=HYPERLINK( ""https://search.certifications.sba.gov/profile/WLUFREMVHNT8/6T708"", ""GOLDWINGS SUPPLY SERVICE, INC"" )","Goldwings Supply Service, Inc. is a Native Hawaiian 8a, WOSB/EDWOSB, HI DBE firm and GSA Schedule Holder. Goldwings is the sole EDWOSB distributor for Carmanah Technologies. Lia Young Hunt is President and Chief Educational Officer. Our clients include private, commercial, military and government agencies spanning the Pacific, Domestic and Global Military Bases.
Aviation Division: FAA Approved Airfield Lighting & Equipment, Solar Lighting for Temporary, Permanent & Expeditionary Airfields; Aircraft Parts & Supplies; 400 Hz Ground Power Support; Pavement Division: Crack & Joint Repair Sealants and Equipment for concrete and asphalt;Solar Lighting & Signals Division: Aviation & Obstruction, Traffic Signals, Marine AToNs and Pathway, Parking Lot & Area Lighting; Critical Power providing Uninterruptible Power Supplies, Maintenance of UPS systems, Automatic Transfer Switches, Switchgear, DC Power Systems; Asset Monitoring & Management for Intelligent Traffic Systems, Connected Vehicle.",,"8(a), WOSB, EDWOSB",LIA HUNT,lia@goldwings-supply.com,521 ALA MOANA BLVD,RM.M-326,HONOLULU,Hawaii,96813,423610,"221114, 221122, 237310, 238210, 324121, 327910, 334511, 335132, 335139, 335311, 335314, 335999, 336320, 336411, 423610, 488119, 518210, 541370, 811121, 811310","221114, 221122, 237310, 238210, 324121, 327910, 334511, 335132, 335139, 335311, 335314, 335999, 336320, 336411, 423610, 488119, 518210, 541370, 811121, 811310"
"=HYPERLINK( ""https://search.certifications.sba.gov/profile/KNHRTQW9VNT7/7P5X1"", ""IN THE DOOR LLC"" )",,,8(a),JERRY MYERS,jmyers@inthedoornow.com,3990 E SADDLE RIDGE DR,STE 100,LITHONIA,Georgia,30038,611430,"541611, 541612, 541613, 561990, 611420, 611430, 624190, 624310","541611, 541612, 541613, 561990, 611420, 611430, 624190, 624310"
"=HYPERLINK( ""https://search.certifications.sba.gov/profile/EL61BANLJNZ3/6WYH0"", ""ORGANIZATIONAL SCIENCES AND CULTURE, INC"" )","OrgScience (A Native American Certified SBA 8(a) Firm) provides Professional Services: Program and Project Management, Technology Staff Augmentation (CyberSecurity and IT Development), Organizational Health and Development, and Software and Hardware Systems Integration Consulting / Implementation. With a highly experienced and educated team, we engage clients across the United States.",https://www.orgscience.com/_files/ugd/c45bad_bf1313865c1b4cc4944a82be0674aacc.pdf,8(a),RON SHEFFIELD,ronsheffield@orgscience.com,10186 CHARISSGLEN LN,,HIGHLANDS RANCH,Colorado,80126,541512,"337110, 518210, 541511, 541512, 541519, 541611, 541614, 541618, 541720, 561110, 561320, 561330, 611430, 611710, 811310","337110, 518210, 541511, 541512, 541519, 541611, 541614, 541618, 541720, 561110, 561320, 561330, 611430, 611710, 811310"
"=HYPERLINK( ""https://search.certifications.sba.gov/profile/M5BELWYQA399/9FFH0"", ""LBYD FEDERAL, LLC"" )","LBYD Federal, LLC provides Architect-Engineer (A-E) Services to Federal agencies including program management, master planning, asset management, facilities and infrastructure design, construction phase services, cost estimating, value engineering, and scheduling services. LBYD Federal also provides a full range of environmental engineering services including RCRA / CERCLA preliminary assessment, site investigation, engineering evaluation, cost assessment, remedial design, time-critical response actions, radiological decontamination & decommissioning, and permitting for contaminants including PFAS, solvents, heavy metals, and other toxic substances.  LBYD Federal also provides Advisory & Assistance Services (A&AS) and various Commercial Services including staff augmentation, facility management, security, and mission operations support.   We have a Facility Clearance (FCL), cleared personnel, and cyber-secure IT systems to perform sensitive Government work.",,8(a),KEVIN BROWN,kevin.brown@northwindgrp.com,725 COOL SPRINGS BLVD,STE 230,FRANKLIN,Tennessee,37067,541330,"237990, 541310, 541320, 541330, 541370, 541380, 541511, 541512, 541519, 541611, 541618, 541690, 541715, 541990, 561110, 561621, 811490","237990, 541310, 541320, 541330, 541370, 541380, 541511, 541512, 541519, 541611, 541618, 541690, 541715, 541990, 561110, 561621, 811490"
"=HYPERLINK( ""https://search.certifications.sba.gov/profile/PEYNBKVLXVM5/8A9N5"", ""BOWHEAD PROFESSIONAL AND TECHNICAL SOLUTIONS, LLC"" )",,,8(a),LORI SCHENDEL,lori.schendel@bowheadsupport.com,1000 SHILOH RD STE 500,,PLANO,Texas,75074,541611,"332999, 333924, 334111, 334511, 335999, 336413, 336992, 512110, 518210, 541330, 541360, 541370, 541380, 541511, 541512, 541513, 541519, 541611, 541612, 541613, 541614, 541618, 541620, 541690, 541713, 541714, 541715, 541810, 541820, 541830, 541840, 541850, 541860, 541870, 541890, 541910, 541990, 561110, 561210, 561410, 561910, 562112, 611430, 611710, 621511, 721110","332999, 333924, 334111, 334511, 335999, 336413, 336992, 512110, 518210, 541330, 541360, 541511, 541512, 541513, 541519, 541612, 541713, 541714, 541715, 541830, 541850, 541870, 561210, 562112, 621511, 721110"
"=HYPERLINK( ""https://search.certifications.sba.gov/profile/M77SF6UMA784/922X8"", ""NTVI HEALTH AND HUMAN SYSTEMS, LLC"" )","NTVI Health and Human Systems, LLC [re]-engineers the latest technology breakthroughs and provides exceptional management and specialized services: enterprise application development; technology operations support; business intelligence/ performance management; financial cost modeling; logistics management; & other scientific & technical services (15+yrs re exp)",,8(a),HATIB PROM,HProm@ntvifederal.com,14100 PARKE LONG CT STE H,,CHANTILLY,Virginia,20151,541611,"238210, 518210, 541330, 541511, 541512, 541513, 541519, 541611, 541614, 541618, 541690, 541715, 541720, 541990, 561110, 561210, 561720, 561790, 611420, 624190, 811210","238210, 518210, 541330, 541511, 541512, 541513, 541519, 541611, 541614, 541618, 541690, 541715, 541720, 541990, 561110, 561210, 561720, 561790, 611420, 624190, 811210"
"=HYPERLINK( ""https://search.certifications.sba.gov/profile/LMBDD7UFAKK3/8FC98"", ""LBYD FEDERAL, LLC"" )","LBYD Federal, LLC provides Architect-Engineer (A-E) Services to Federal agencies including program management, master planning, asset management, facilities and infrastructure design, construction phase services, cost estimating, value engineering, and scheduling services. LBYD Federal also provides a full range of environmental engineering services including RCRA / CERCLA preliminary assessment, site investigation, engineering evaluation, cost assessment, remedial design, time-critical response actions, radiological decontamination & decommissioning, and permitting for contaminants including PFAS, solvents, heavy metals, and other toxic substances.  LBYD Federal also provides Advisory & Assistance Services (A&AS) and various Commercial Services including staff augmentation, facility management, security, and mission operations support.   We have a Facility Clearance (FCL), cleared personnel, and cyber-secure IT systems to perform sensitive Government work.",,8(a),SCOTT HARTFORD,scott.hartford@northwindgrp.com,2800 SOLWAY RD,,KNOXVILLE,Tennessee,37931,541330,"237990, 541310, 541320, 541330, 541370, 541380, 541511, 541512, 541519, 541611, 541618, 541620, 541690, 541715, 541990, 561110, 561621, 562910, 811490","237990, 541330, 541370, 541380, 541511, 541512, 541519, 541611, 541618, 541620, 541690, 541715, 541990, 561621, 562910"
"=HYPERLINK( ""https://search.certifications.sba.gov/profile/FKDUF67MEMF2/99M98"", ""CHRONOS OPERATIONS LLC"" )","8(a) Alaska Native Corporation- owned Chronos Operations provides mission-critical services in Advanced Analytics & AI, Software Engineering, Cybersecurity, Information Technology, and Intelligence. Our team specializes in Automation, Artificial Intelligence, Machine Learning, Robotic Processing Automation, and Scripting. Our past performance includes work with DOD, DOJ, DOS, DOI, DHS, IHS, and Washington Headquarters Services. Chronos is a Small Business and wholly owned subsidiary of the Chenega Corporation, an Alaska Native Corporation.",,8(a),HEATHER LACROIX,heather.lacroix@chenega.com,1155 KELLY JOHNSON BLVD,STE 105,COLORADO SPRINGS,Colorado,80920,541512,"315990, 332994, 334111, 334511, 334515, 335999, 336413, 339999, 485999, 518210, 541330, 541430, 541511, 541512, 541513, 541519, 541611, 541612, 541613, 541614, 541690, 541715, 541720, 541820, 541990, 561110, 561210, 561320, 561611, 561910, 611310, 611420, 611430","315990, 332994, 334111, 334511, 334515, 335999, 336413, 339999, 485999, 518210, 541330, 541430, 541511, 541512, 541513, 541519, 541611, 541612, 541613, 541614, 541690, 541715, 541720, 541820, 541990, 561110, 561210, 561320, 561611, 561910, 611310, 611420, 611430"
"=HYPERLINK( ""https://search.certifications.sba.gov/profile/LZHPRDEDRWD1/9VD58"", ""PARAGON PROFESSIONAL SERVICES LLC"" )",,,8(a),CHRISTOPHER SMITH,csmith@bsnc.net,1743 DORSEY RD,SUITES # 100-102,HANOVER,Maryland,21076,562910,"236210, 236220, 237990, 238210, 238910, 531311, 541330, 541513, 541611, 541618, 541620, 541990, 561210, 561612, 561621, 562910, 611430, 611519, 611620",562910
"=HYPERLINK( ""https://search.certifications.sba.gov/profile/WLA1NNH1QKE9/01QH8"", ""PRAK INDUSTRIES LLC"" )","PRAK Industries, LLC is a US technical uniform manufacturer including law enforcement and bike patrol uniforms and was founded in 1996 as a manufacturer of outdoor/lifestyle apparel. The company was approached by local law enforcement departments to design and manufacture technical law enforcement apparel that was professional looking, functional and easy to care for. Using appropriate design techniques and specialty technical fabrications developed for the sailing, biking, hiking, paddle sport and mountain climbing industries, PRAK Industries, LLC set out to design performance apparel for the rapidly growing law enforcement bike patrol needs with attitude that function dictates form. PRAK Industries, LLC has built its reputation on design, quality and customer service and is looking to expand that expertise into the other aspects of the law enforcement and military industries with the help of SNCTS.",,8(a),ERVIN DEJESUS,edejesus@sncts.com,"STREET #1, BUILDING #3",BO. PUENTE 273 MUNOZ RIVERA AVENUE,CAMUY,Puerto Rico,00627,315210,"313210, 314910, 314999, 315210, 315250, 336110, 424350, 492110, 493110, 493190, 532111, 541330, 541490, 541511, 541512, 541513, 541519, 541611, 541614, 541618, 561110, 561210, 561612, 561720, 561730, 611430, 611699, 611710, 811490","313210, 314910, 314999, 315210, 315250, 336110, 424350, 492110, 493110, 493190, 532111, 541330, 541490, 541511, 541512, 541513, 541519, 541611, 541614, 541618, 561110, 561210, 561612, 561720, 561730, 611430, 611699, 611710, 811490"
"=HYPERLINK( ""https://search.certifications.sba.gov/profile/JMKBCN561T57/73YX8"", ""PENOBSCOT HEALTH SERVICES, LLC"" )",Specializes in providing temporary and supplemental placement of health care professionals throughout the US. Customize biomedical equipment services that support positive outcomes; create comprehensive repair and preventative maintenance solutions.,,"8(a), HUBZone",MICHAEL BURGESS,Michael.Burgess@penobscotnation.org,12 WABANAKI WAY STE E,,INDIAN ISLAND,Maine,04468,561320,"238210, 334510, 334516, 339112, 532420, 541380, 541511, 541519, 541611, 541690, 541990, 561110, 561210, 561320, 561720, 621111, 621112, 621210, 621330, 621340, 621399, 621420, 622110","238210, 334510, 334516, 339112, 532420, 541380, 541511, 541519, 541611, 541690, 541990, 561110, 561210, 561320, 561720, 621111, 621112, 621210, 621330, 621340, 621399, 621420, 622110"
"=HYPERLINK( ""https://search.certifications.sba.gov/profile/R4LZY4BKHGK5/7HKZ9"", ""SUSITNA ENVIRONMENTAL, LLC"" )","Susitna helps clients develop solutions to their contaminated sites management challenges.  Our team endeavors to achieve our client’s technical goals for remediation while helping them to protect human health and ecology, meet their regulatory obligations, control costs, and manage stakeholder expectations.  Our team’s skill sets combine field services, regulatory negotiations, risk assessment, financial and project management, and remediation technology.

The Susitna team has over 30 years of combined experience in the Military Munitions Response Program (MMRP) for the DoD and private clients including comprehensive research investigation, remediation, and closure activities at sites in the lower-48 and in remote Alaska. Our munitions response professionals and scientists are proficient at performing Comprehensive Environmental Response, Compensation, and Liability Act (CERCLA)-based investigations at sites impacted by current and historical military munitions activities.",,"8(a), WOSB, EDWOSB",MELISSA MAYER,m.mayer@susitna.com,2419 MCKENZIE DR,,ANCHORAGE,Alaska,99517,562910,"541620, 541690, 541990, 562910","541620, 541690, 541990, 562910"
"=HYPERLINK( ""https://search.certifications.sba.gov/profile/F9APVM4HEAL8/7FYE4"", ""WCA CONSTRUCTION, LLC"" )","WCA Construction, LLC present products and services are focused on the construction of heavy civil and commercial building projects.  WCA’s primary niche is the completion of water delivery related projects including dam construction, structural concrete, water transmission pipelines, river restoration, canal repair, and canal paving.  WCA’s civil division has also completed a variety of roadway improvement, bridge construction, utility installation, waste water treatment, pedestrian pathway, and infrastructure development projects.  WCA’s building division has completed several commercial building projects including multiple fire stations, a multi-use homeless shelter, multi-unit housing development projects, and many remodel improvement projects on residential and commercial buildings.",,"8(a), HUBZone",JAMES MELVIN,jmelvin@wcaconstruction.com,305 INDUSTRIAL PKWY,,TOWAOC,Colorado,81334,237990,"212321, 221310, 236116, 236210, 236220, 237110, 237120, 237310, 237990, 238910, 562910","212321, 221310, 236116, 236210, 236220, 237110, 237120, 237310, 237990, 562910"
"=HYPERLINK( ""https://search.certifications.sba.gov/profile/UBMYGWKNEXN3/9QML3"", ""BETTY JACKSON COUNSELING SERVICES, PC"" )","Our purpose is to help individuals understand mental illnesses and what they can do to control or cope with symptomology while working to improve health, wellness, and to help individuals function better and enhance their emotional health and wellbeing. BJCS works with individuals and family members to strengthen their ability to handle life’s issues with support, while working on self-growth and living a healthier lifestyle.  BJCS provides individual, group, family therapy, case management, peer recovery support, psychosocial rehabilitation, and crisis-intervention services. Drug/alcohol and bio-psychosocial assessments, and licensure supervision is available for LPC candidates. Home and school-based services are also available.  BJCS is accredited through CARF International and the Oklahoma Department of Mental Health and Substance Abuse as an outpatient site for Mental Health and Substance Abuse Services.  BJCS adheres to a high level of ethical standards.",https://drive.google.com/file/d/1SO38NwXTgywJdBrprd3DUx1u-lzZRuVW/view?usp=drive_link,"8(a), HUBZone, WOSB, EDWOSB",LATIA PARKER,lparker@bettyjcounseling.com,2508 E 71ST ST STE C,,TULSA,Oklahoma,74136,621498,"541611, 611710, 621112, 621330, 621420, 621498, 621999, 624110, 624190","541611, 611710, 621112, 621330, 621420, 621498, 621999, 624110, 624190"
"=HYPERLINK( ""https://search.certifications.sba.gov/profile/J9RFS1E41C94/9ML04"", ""HUNATEK FEDERAL SERVICES, LLC"" )",,,8(a),JOHN SPARKMAN,john.sparkman@hunatek.com,13900 LINCOLN PARK DR STE 350D,,HERNDON,Virginia,20171,541519,"236210, 236220, 237110, 237990, 238110, 238120, 238210, 238220, 238910, 334111, 334112, 334210, 334220, 518210, 541330, 541519, 541611, 561210","236210, 236220, 237110, 237990, 238110, 238120, 238210, 238220, 238910, 334111, 334112, 334210, 334220, 518210, 541330, 541519, 541611, 561210"
"=HYPERLINK( ""https://search.certifications.sba.gov/profile/M9AFDNABCAS1/0YJQ6"", ""SUSITNA-KCI, LLC"" )",,,8(a) JV,MELISSA MAYER,m.mayer@susitna.com,2419 MCKENZIE DR,,ANCHORAGE,Alaska,99517,562910,562910,562910
